Data Current as of Date,Application ID,Primary Contractor Name,Contractor Type,Project Type,Technology 1,Technology 2,Technology 3,Project Title,Contractor Street,Contractor City,Contractor State/Province,Contractor Zip/Postal Code,Contractor Website,Award Date,Award Amount (US Dollars)
12/8/20,85654,"Regional Economic Models, Inc",Consultant,Research Study,,,,REMI,433 West St,Amherst,MA,1002,https://www.remi.com/,7/22/13,8500
12/8/20,85576,"Carman Electric, Inc.",Other,Research Study,,,,Purchase and installation of electricity monitoring equipment for the dairy ligh,7051 Upper Bean Hill Rd,Groveland,NY,14462,,5/30/12,8542
12/8/20,85566,Rensselaer Polytechnic Institute-LRC,University,Research Study,,,,LRC literature review of CEA lighting; assessment of current state of lighting r,21 Union St,Troy,NY,12180,http://www.lrc.rpi.edu/,3/12/12,9216
12/8/20,85986,New York State Water Resources Institute,University,Research Study,,,,New York State Wastewater Reuse Evaluation,"Cornell University
201 Rice Hall",Ithaca,NY,14853,https://wri.cals.cornell.edu/,9/5/06,9500
12/8/20,85643,Skumatz Economic Research Associates Inc,Industry / Trade Association,Research Study,,,,A behavior research pilot in Tompkins County NY to test the effects of providing,762 Eldorado Dr,Superior,CO,80027,https://serainc.com/,7/17/14,9601
12/8/20,85655,Adirondack North Country Association,Municipality / Government Agency,Research Study,,,,Technical Assistance,"67 Main Street
Suite 201",Saranac Lake,New York,12983,https://adirondack.org,8/7/13,10000
12/8/20,85917,Electric Power Research Institute,Laboratory / Research Center,Research Study,,,,Promote DG-CHP in New York State for the Industrial Sector,"1325 G Street, NW, Ste 1080",Washington,DC,20005,https://www.epri.com,12/2/03,10000
12/8/20,87205,Customerfirst Renewables,Consultant,Research Study,,,,Avian and Bat Research to Support Wind Energy Development,9801 Washingtonian Blvd Ste 210,Gaithersburg,MD,20878,https://www.customerfirstrenewables.com/,12/6/06,10000
12/8/20,85567,Dairy one Cooperative Inc,Other,Research Study,,,,milk production software that will be used to fulfill contract number 26519,730 Warren Rd,Ithaca,NY,14850,http://dairyone.com/,3/5/12,10575
12/8/20,85958,Connected Energy,Corporate,Research Study,,,,Monitoring Energy Use at Stevenson Towers:Monitoring at Stevenson Towers,4 Commercial St Ste 400,Rochester,NY,14614,https://www.c-e-int.com/,10/11/05,10889
12/8/20,85990,Consolidated Edison,Utility,Research Study,,,,Evaluation: Thermal Energy Storage for Peak-Demand Management of Steam District,4 Irving Place RM 1875,New York,NY,10003,https://www.coned.com,10/13/06,11757
12/8/20,84772,Cornell Coop Ext Livingston County,Other,Research Study,,,,Long-day Energy Efficient lighting for dairy operations,3 Murray Hill Dr,Mount Morris,NY,14510,http://ccelivingstoncounty.org/,3/15/12,13152
12/8/20,84994,American Council for an Energy Efficient,Industry / Trade Association,Research Study,,,,Game-Based EE Programs,529 14th St NW Ste 600,Washington,DC,20045,http://aceee.org/,12/2/14,15000
12/8/20,85745,"EBSCO Industries, Inc.",Corporate,Research Study,,,,PlumX altmetrics 2015-2016,"PO Box 204661 
Payment Processing Center",Dallas,TX,75320,https://www.ebscoind.com/,7/3/15,15000
12/8/20,85953,"Van Wie Group, LLC",Consultant,Research Study,,,,Analyze an Alternative Approach to Program Recoupment,31 Balboa Dr,Latham,NY,12110,,9/7/05,15000
12/8/20,85954,"The Technology Strategies Group, Inc.",Early Stage Company,Research Study,,,,Critical Review of Suggested 'Hydrogen Economy' Uses and Applications,PO Box 67,North Ferrisburg,VT,5473,https://tstrategies.com/,8/19/05,15000
12/8/20,86755,"Energy Nexus Group, Inc.",Early Stage Company,Research Study,,,,Distributed Generation Operational Reliability Database:Distributed Generation R,"701 Palomar Airport Road 
Suite 200",Carlsbad,CA,92009,https://www.energynexusgroup.com/,12/31/01,15000
12/8/20,86756,ICF International,Consultant,Research Study,,,,Operational Reliability and Availability Database,215 Washington Avenue Ext,Albany,NY,12205,https://www.icf.com/,1/6/03,15000
12/8/20,86330,Urban Trans Consultants,Consultant,Research Study,,,,Telecommuting Study Urban Trans Consultants,"1140 Connecticut Ave
NW Suite 777",Washington,DC,20036,https://urbantrans.com/,9/15/08,15900
12/8/20,95372,Eastern Research Group,Laboratory / Research Center,Research Study,,,,eTRU Standards Development,110 Hartwell Ave,Lexington,MA,2421,https://www.erg.com/,11/10/17,16103
12/8/20,87080,A World Inst. for Sustainable Humanity f,Other,Research Study,,,,Small Wind Turbine Siting Outreach Project,Po Box 46,Minerva,NY,12851,http://www.awish.net/,11/24/04,16473
12/8/20,85289,DichroTec Thin Films LLC,Other,Research Study,,,,Concentrated Solar Photovoltaics Using First-Surface Silver Mirrors,465 Paul Rd,Rochester,NY,14624,http://www.dtthinfilms.com/,12/2/13,18723
12/8/20,110193,John Siegenthaler,Early Stage Company,Research Study,,,,Independent Technical Evaluation of Hydronics System for Biomass-Fired District,9568 Steuben Valley Road,Holland Patent,NY,13354,https://www.hydronicpros.com/,3/3/15,19985
12/8/20,87237,Emerald Power Corporation,Early Stage Company,Research Study,,,,New Rochelle Waste Water Treatment Plant Sludge to Energy,28 W 39th St Fl 5,New York,NY,10018,,11/28/05,20000
12/8/20,85154,Bryan Allinson,Industry / Trade Association,Research Study,,,,Commercialization Advisement,195 Vista Oak Dr.,Longwood,FL,32779,,9/6/16,21925
12/8/20,84992,"Pure Energy Partners, LLC",Early Stage Company,Research Study,,,,Cleanweb Market Assessment,8 Beachside Ave,Westport,CT,6880,http://pureenergypartners.com/,10/16/14,24000
12/8/20,87345,"Steven Winter Associates, Inc.",Consultant,Research Study,,,,Combined Cooling Heat and Power Feasibility Study at the Urban Horizons Building,"307 Seventh Avenue 
Suite 1701",New York,New York,10001,http://www.swinter.com/,3/15/07,24535
12/8/20,85397,Sammons/Dutton LLC,Early Stage Company,Research Study,,,,Provide technical assistance in formulating appropriate responses to specific co,"44 Cook Street 
Suite 100",Denver,CO,80206,,3/31/10,24999
12/8/20,86002,Cornell University-Office of Sponsored P,University,Research Study,,,,Analyze Energy Requirements to Provide Fresh Produce to NYS Consumers,216 Riley-Robb Hall,Ithaca,New York,14853,https://www.osp.cornell.edu/,12/13/06,24999
12/8/20,75441,"Spectra Engineering, Architecture & Surv",Consultant,Research Study,,,,Application for Ground Penetrating Radar for Bridge Deck Networks,19 British American Blvd,Latham,NY,12110,http://www.spectraenv.com/,9/28/05,25000
12/8/20,85564,"S3J Electronics, LLC",Early Stage Company,Research Study,,,,purchase of LED luminaires for the dairy lighting project under contract 26519;,2000 Commerce Pkwy,Lancaster,NY,14086,http://www.s3jelectronics.com/,3/5/12,25000
12/8/20,85759,Akasaka Enterprises,Consultant,Research Study,,,,GLASE Consortium Analysis,125 Park Ave Fl 25,New York,NY,10017,,11/6/15,25000
12/8/20,85811,Rochester Institute of Technology,University,Research Study,,,,Assesing Energy Practices and Technology Challenges and Opportunitites at NYS Pr,1 Lomb Memorial Dr,Rochester,New York,14623,http://www.rit.edu,5/13/09,25000
12/8/20,85887,"Innex Industries, Inc.",Corporate,Research Study,,,,Microwave Sintering of Ceramics for Compaction Tooling :Microwave Sintering of C,6 Marway Dr,Rochester,NY,14624,https://innexind.com/,5/5/03,25000
12/8/20,86003,Northeast Agriculture Technology Corporation,Other,Research Study,,,,Scoping Session for Controlled Environment Agriculture in New York State,95 Brown Rd Ste 244,Ithaca,NY,14850,,1/17/07,25000
12/8/20,86786,Southern Container Corp.,Corporate,Research Study,,,,Feasibility Study for Cogeneration:Feas. Study for Southern Container Corp.,PO BOX 1060,Smithtown,NY,11787,,7/30/01,25000
12/8/20,75442,"Regional Plan Association, Inc.",Laboratory / Research Center,Research Study,,,,Congestion Pricing in NYC,1 Whitehall St Fl 16,New York,NY,10004,http://www.rpa.org/,3/7/06,25027
12/8/20,85338,The Solar Energy Consortium,Industry / Trade Association,Research Study,,Rail transport innovation,,Advanced Energy Systems for New York State,434 Old Neighborhood Rd,Kingston,NY,12401,http://www.thesolarec.org,11/4/09,25277
12/8/20,85544,Frost & Sullivan,Consultant,Research Study,,,,Estimate growth of renewable energy sector jobs in NYS. For use with Clean Energ,7550 IH10 W,San Antonio,Texas,78229,https://ww2.frost.com/,1/13/12,27500
12/8/20,84747,Research Foundation of CUNY,University,Research Study,,,,Irene/Lee Case Study,"230 W 41st Street, 7th Floor",New York,NY,10036,https://www.rfcuny.org/RFWebsite/,3/9/12,28004
12/8/20,85682,Carnegie Mellon University,University,Research Study,,,,Behavior Strategies to Increase Participation in DIY Energy Improvements,5000 Forbes Ave Baker Hall 129,Pittsburgh,Pennsylvania,15213,http://www.cmu.edu,2/24/15,28409
12/8/20,86711,"Fingerlakes Aquaculture, Inc.",Early Stage Company,Research Study,,,,Vertically Integrated Indoor Fish Farming:Feasibility Analysis Indoor Fish Farmi,7627 County Road 36,Naples,NY,14512,http://www.fingerlakesaquaculture.com/,6/27/00,29000
12/8/20,85902,Solvay Paperboard LLC,Corporate,Research Study,,,,Fluidized Bed Boiler Feasibility Study,115 Engineers Rd,Hauppauge,NY,11788,,5/6/03,30000
12/8/20,87344,"Steven Winter Associates, Inc.",Consultant,Research Study,,,,CHP Feasibility Study for Fountain House,"307 Seventh Avenue 
Suite 1701",New York,New York,10001,http://www.swinter.com/,6/15/07,30600
12/8/20,85578,"Network Experts of New York, Inc.",Early Stage Company,Research Study,,,,Network Experts of New York will be conducting an IT security assessment,407 Vesper Court,Slingerlands,NY,12159,https://netxny.com/,8/10/12,31000
12/8/20,75345,International Climbing Machine,Early Stage Company,Research Study,,,,Remote Controlled Climbing Machine Feasibility Study:Climbing Machines-The Gecko,630 Elmira Rd,Ithaca,NY,14850,http://www.icm.cc/,3/11/02,31325
12/8/20,85693,"Ensave, Inc.",Early Stage Company,Research Study,,,,Evaluate Agriculture Sector Audit Data to Identify Opportunities for EE R&D,65 Millet Street Suite 105,Richmond,Vermont,5477,https://www.ensave.com/,5/27/14,31332
12/8/20,86843,Power Services Associates,Other,Research Study,,,,"APC Paper - Norfolk, NY Request for Feasibility Study Assistance:APC Paper - Nor",122 Via D'este Suite 504,Delray Beach,FL,33445,https://powerservices.com/,12/20/01,32500
12/8/20,109994,NESCAUM,Laboratory / Research Center,Research Study,,,,Emissions Performance and Health Impacts of Different Boiler and Fuel Types in a,"89 South St, Suite 602",Boston,MA,2111,http://www.nescaum.org/,3/15/16,33220
12/8/20,86825,"NRM, Inc.",Corporate,Research Study,,,,Demonstrate Energy-Efficient Milk Loading Process at Dariy Farms:Milk Direct Loa,480 Neponset St Bldg 2,Canton,MA,2021,https://www.nrminc.com/,2/27/02,34670
12/8/20,106115,AWS Truepower Data Center,Consultant,Research Study,,,,Wind Resource Assessment Tool for RPS QA/QC,463 New Karner Rd,Albany,NY,12205,http://www.awstruepower.com/knowledge-center/,4/11/13,36000
12/8/20,86391,"Utility Systems Tech., Inc.",Early Stage Company,Research Study,,,,Feasibility Study of High Efficiency Alternatives to Data Center UPS,70 Cohoes Rd,Watervliet,NY,12189,https://ustpower.com/,3/9/10,36768
12/8/20,75387,City College of New York,University,Research Study,,,,Sludge to Activated-Carbon Product Development,160 Convent Ave,New York,NY,10031,https://www.ccny.cuny.edu/,10/21/03,36810
12/8/20,87275,"Eastern Research Group, Inc.",Laboratory / Research Center,Research Study,,,,Technical Support for Farm Management Initiatives,110 Hartwell Ave,Lexington,MA,2421,https://www.erg.com/,12/4/06,39622
12/8/20,87272,"North Lawrence Dairy, Inc.",Early Stage Company,Research Study,,,,Feasibility Study to Determine the Optimum Use of Digester Biogas at Coolbrands,22 County Route 52,North Lawrence,NY,12967,http://upstatefarmsfs.com/about/plants/,3/31/06,39795
12/8/20,75258,Capital District Transportation Authorit,Early Stage Company,Research Study,,,,Transit Route Selection Service,110 Watervliet Ave,Albany,NY,12206,https://www.cdta.org/,9/26/97,39873
12/8/20,85680,Upstate Venture Connect,Consultant,Research Study,,,,A Study: Analyzing Best Practices for  Accelerator Programs for Cleantech Co.,235 Harrison St,Syracuse,NY,13202,https://uvc.org/,1/27/14,40000
12/8/20,86826,Cayuga County SWCD,Municipality / Government Agency,Research Study,,,,Recovery of Struvite from Anaerobic Digester Effluent,7413 County House Rd,Auburn,NY,13021,http://www.cayugaswcd.org/,10/31/01,41603
12/8/20,85488,Matthew Fronk,Other,Research Study,,,,H2 Highway and Infrastructure: Contractor will be updating the NY Hydrogen Roadm,66 Quaker Meeting House Rd,Honeoye Falls,NY,14472,https://www.linkedin.com/in/mattfronk,9/29/11,42000
12/8/20,85479,University of Southern California,University,Research Study,,,,USC Remi for CAP,3601 Trousdale Parkway Student Union 301,Los Angeles,CA,90089,https://www.usc.edu/,3/16/11,43134
12/8/20,87120,"Energy and Environmental Analysis, Inc.",Consultant,Research Study,,,,Inventory of Landfill Gas Potential in New York and Screening for DG/CHP,1655 Fort Myer Dr Ste 600,Arlington,VA,22209,https://www.icf.com/work/energy,12/30/04,44273
12/8/20,75455,GreenFuel Technologies Corp.,Other,Research Study,,,,Algal Conversion of CO2 to Biofuel,29 Smith Pl,Cambridge,MA,2138,,3/17/06,44663
12/8/20,85548,David Yeh,Consultant,Research Study,,,,Study on new incubator models and their applicability to NYSERDA-funded incubato,5 Parkhill Ct,Huntington,NY,11743,,2/29/12,45000
12/8/20,159166,Energy and Environmental Research Associates,Laboratory / Research Center,Research Study,,,,Blockchain Primer and Use Cases,2 Babcock Farms Lane,Pittsford,NY,14534,http://eerasite.appspot.com/,11/21/18,45000
12/8/20,87064,NanoSpire,Early Stage Company,Research Study,,,,Cavitation Nanofabrication for Oxygen Sensor,"25 Jesse Daniel Drive 
Attn: Mark LeClair",Buxton,ME,4093,https://nanospire.com/,3/24/04,45340
12/8/20,85711,Community Power Network of NYS,University,Research Study,,,,Technical Services for BERDC,1 Forestry Dr,Syracuse,NY,13210,http://www.esf.edu/,7/9/15,45650
12/8/20,85469,"CB Information Services, Inc.",Early Stage Company,Research Study,,,,The project provides an initial â€œbaselineâ€ measurement of the number of fund,"56 Pine St., Apt 3D",New York,NY,10005,https://www.cbinsights.com/about,2/24/11,45980
12/8/20,86742,RLW Analytics,University,Research Study,,,,Microwave Processing of Food,"Research Adm & Finance, 4th Floor West Hall, 110 8th St",Troy,NY,12180,https://www.rpi.edu/,9/19/02,46901
12/8/20,87198,Clarkson University,University,Research Study,,,,Productivity Improvement in Industrial Processes through Diagnosis/Compensation,8 Clarkson Avenue CU Box 5630,Potsdam,NY,13699,http://www.clarkson.edu,8/5/05,47148
12/8/20,109993,Columbia University,University,Research Study,,,,Health Outcomes Over NY,622 W 168th St,New York,NY,10032,http://www.columbia.edu,4/20/16,48000
12/8/20,75287,"Rupprecht & Patashnick, Co",Consultant,Research Study,,,,"Market Assessment of Ambient-Particulate Monitors, Series 7000",25 Corporate Cir,Albany,NY,12203,https://www.thermofisher.com/us/en/home.html,3/26/99,48518
12/8/20,74061,Research Foundation of The City,University,Research Study,,,,Truckless Solid Waste Collection at Roosevelt Island,230 West 41st Street,New York,NY,10036,https://www.ccny.cuny.edu/rf,3/31/11,48862
12/8/20,85750,DET NORSKE VERITAS (U.S.A.) INC.,Corporate,Research Study,,,,DNV GL to perform a forensics,1400 Ravello Dr,KATY,TX,43017,https://www.dnvgl.com/,8/27/15,49120
12/8/20,85713,"Unique Technical Services, LLC",Early Stage Company,Research Study,,,,Unique Technical Services LLC,52 Roundabout Road,Smithtown,NY,11787,http://www.utseng.com,6/4/15,49362
12/8/20,74042,Goodban Belt LLC,Other,Research Study,,,,New York Canal Modern Freight-Way,35 Newman Pl,Buffalo,NY,14210,,5/19/09,49480
12/8/20,75529,Ruby Mountain,Consultant,Research Study,,,,Biogas for Transportation,2373 E.1300 SO,Salt Lake City,UT,84108,http://rubymountaininc.com/,10/21/15,49550
12/8/20,85634,"KEMA Services, Inc.",Corporate,Research Study,,,,Study of energy storage near-term opportunities for enabling islanded residentia,48 4th St,Troy,NY,12180,https://www.dnvgl.com/energy,5/8/13,49600
12/8/20,85728,Pyramid Energy Engineering Services PLLC,Early Stage Company,Research Study,,,,M&V Guidance Doc Development,"30 Karner Rd., #12369",Albany,NY,12288,http://pyramidees.com/,4/6/15,49664
12/8/20,75410,Synergetic Technologies Inc.,Early Stage Company,Research Study,,,,Real-Time Characterization of Fine Particulate Matter,"1120 Speers Rd,",Oakville,ON,L6L 2X4,http://www.synergetic.on.ca/,2/18/04,49784
12/8/20,75298,"Rupprecht & Patashnick, Co",Consultant,Research Study,,,,Development of Continuous Amb. Particulate Monitor,25 Corporate Cir,Albany,NY,12203,https://www.thermofisher.com/us/en/home.html,8/17/99,49880
12/8/20,109162,JP Martin Energy Strategy LLC,Consultant,Research Study,,,,PON 3249 ACE--Lithium research,58 Kettles Way,Queensbury,NY,12804,http://jpmartinstrategy.com/,11/1/17,49926
12/8/20,86551,"Praxair, Inc.",Corporate,Research Study,,,,Gas Turbine Cogeneration with Oxygen Enhanced Heat:Gas Turbine Cogeneration with,175 East Park Drive,Tonawanda,New York,14150,http://www.praxair.com/,3/30/98,49932
12/8/20,74015,Clarkson University,University,Research Study,,,,Advanced Sensing & Structural Evaluation Toolkit for Load Capacity Rating within,8 Clarkson Avenue CU Box 5630,Potsdam,NY,13699,http://www.clarkson.edu,3/30/10,49940
12/8/20,86355,Halfmoon Power Technologies,Early Stage Company,Research Study,,,,Feasibility Study: CMA Substrates for Electric or Hybrid Vehicle Powertrains,25 Cindy Lane,Clifton Park,NY,12065,http://www.halfmoonpower.com/,2/5/09,49958
12/8/20,110191,Research Foundation of SUNY,University,Research Study,,,,Forest Biomass,1 Forestry Dr,Syracuse,NY,13210,http://www.esf.edu/,5/15/17,49992
12/8/20,85398,NTC Consultants,Consultant,Research Study,,,,Provide technical assistance in formulating appropriate responses to specific co,"18 Division Street, Studio 304",Saratoga Springs,NY,12866,http://www.elan3consulting.com/,3/31/10,49996
12/8/20,85429,"American Hydro Power, Inc.",Corporate,Research Study,,,,Assessing Small-Scale Hydropower in New York State,319 Main Street,Saugerties,NY,12477,https://www.ahydro.com/,8/11/10,49999
12/8/20,74058,Lower Hudson - Long Island RC & DC Counc,Municipality / Government Agency,Research Study,,,,Hudson River Foodway Corridor,5 Park Lane,Highland,NY,12528,http://www.lhlircd.net/,3/24/11,50000
12/8/20,75384,"Liro Engineers, Inc.",Corporate,Research Study,,,,Prevention of Reflective Cracking in Composite Pavement,3 Aerial Way,Syosset,NY,11791,http://www.liro.com/,3/27/03,50000
12/8/20,75467,The Curators of the University of Missou,University,Research Study,,,,Coaxial Cable Sensors and Instrument for Crack Detection in Bridges,316 University Hall,Columbia,MO,65211,https://www.umsystem.edu/curators/,3/17/08,50000
12/8/20,75548,Clarkson University,University,Research Study,,,,Electrical Impedance-based Concrete Evaluation for Transportation Sector,8 Clarkson Avenue CU Box 5630,Potsdam,NY,13699,http://www.clarkson.edu,10/10/06,50000
12/8/20,75549,Clarkson University,University,Research Study,,,,Advanced Energy-efficient Coating Systems for Transportation Infrastructure,8 Clarkson Avenue CU Box 5630,Potsdam,NY,13699,http://www.clarkson.edu,2/28/07,50000
12/8/20,84735,"Bright Power, Inc.",Corporate,Research Study,,,,Cold Water Bypass in Buildings,11 Hanover Square 21st Floor,New York,New York,10005,http://www.brightpower.com/,10/15/12,50000
12/8/20,84876,"Ceralink, Inc.",Early Stage Company,Research Study,,,,Laminated Object Manufacturing of Bio-Inspired Structures for Clean-Energy Appli,150 Jordan Road,Troy,NY,12180,http://www.ceralink.com,11/18/13,50000
12/8/20,85290,"U.S. Green Building Council, NY Chapter",Laboratory / Research Center,Research Study,,,,Buildings Product Research,2101 L Street NW Suite 500,Washington,DC,20037,https://www.usgbc.org/chapters/usgbc-new-york-upstate-0,1/9/17,50000
12/8/20,85474,Electric Power Research Institute,Laboratory / Research Center,Research Study,,,,This EPRI Project Funding Agreement applies to the project entitled:  â€œAssessm,"1325 G Street, NW, Ste 1080",Washington,DC,20005,https://www.epri.com,3/12/12,50000
12/8/20,86845,ECOPOWER LLC,Corporate,Research Study,,,,CHP Feasibility Study at Double Aught Lumber,"5900 Monona Dr, Suite 301",MONONA,WI,53716,http://www.ecopowerenergy.us,12/27/01,50000
12/8/20,86936,Environmental Resources Management (ERM),Corporate,Research Study,,,,Feasibilty Study & Preliminary Engineering for CHP,1159 Pittsford Victor Rd Ste 200,Pittsford,NY,14534,https://www.erm.com/,2/25/03,50000
12/8/20,95374,Reach Strategies,Consultant,Research Study,,,,Ride-and-Drive Pilot,"100 Shoreline Hwy, Ste 100",Mill Valley,CA,94941,http://www.reach-strategies.org,9/15/17,50000
12/8/20,86175,The Cadmus Group,Consultant,Research Study,,,,Market and Technology Analysis of Ferroresonant Transformers,"100 5th Avenue
Suite 100",Waltham,Massachusetts,2451,https://cadmusgroup.com/,8/17/07,52240
12/8/20,86842,Anchor Glass Container Corp,Corporate,Research Study,,,,Combined Heat & Power Project: Anchor Glass,401 E Jackson St Ste 1100,Tampa,FL,33602,http://anchorglass.com/,1/23/02,52500
12/8/20,87113,Delta Pressure Generation Syst,Early Stage Company,Research Study,,,,Natural Gas Pressure Letdown Generation,2 Long Pond Rd,Armonk,NY,10504,,9/27/04,52500
12/8/20,74170,Vermont Energy Investment Corporation,Other,Research Study,,,,New York State Grid-Interactive Vehicle Study,128 Lakeside Ave Ste 401,Burlington,VT,5401,http://www.veic.org/index.aspx,11/14/14,53386
12/8/20,87323,"CeraGen, LLC",Other,Research Study,,,,Develop Energy-efficient SiAION Ceramic Cutting Tool:SiAION Ceramic Cutting Tool,200 N Main St,Alfred,NY,14802,,3/26/07,54892
12/8/20,87121,ICF International,Consultant,Research Study,,,,DG-CHP Market Development in New York Hospitals,215 Washington Avenue Ext,Albany,NY,12205,https://www.icf.com/,3/22/05,58262
12/8/20,87006,The Cooper Union for the Advancement of,University,Research Study,,,,Cooper Union Combined Heat and Power Plan,30 Cooper Sq,New York,NY,10003,http://cooper.edu/welcome,4/9/04,59212
12/8/20,87061,Energy Research Company,Laboratory / Research Center,Research Study,,,,Feasibility Study of Measuring Glass Melt Chemistry with a Laser Probe,400 Leland Ave,Plainfield,NJ,7062,http://www.er-co.com/,5/28/04,60751
12/8/20,86390,Exergy Partners Corporation,Early Stage Company,Research Study,,,,Pilot Site Analysis and Assessment for NYSERDA'S DG/CHP Integrated Data System,12020 Meadowville Ct,Herndon,VA,20170,http://www.exergypartners.com/index.html,3/9/10,63491
12/8/20,74033,New York University,University,Research Study,,,,Urban Distribution Centers: Reducing Freight Vehicle Miles Traveled,"740 Broadway 
Fl 6",New York,New York,10003,http://www.nyu.edu/,11/13/09,65622
12/8/20,85314,The Trustees of Columbia University,University,Research Study,,,,Technical and economic assessment of urban agriculture systems,1210 Amsterdam Ave,New York,NY,10027,https://secretary.columbia.edu/trustees-columbia-university,11/23/10,65737
12/8/20,87123,"ECOM-ENERGY, Inc.",Corporate,Research Study,,,,Analysis of DG/CHP Opportunities for Steam Customers in New York City,5200 Butler Pike,Plymouth Meeting,PA,19462,https://www.ecom-energy.com/,10/14/04,66235
12/8/20,86182,Clarkson University,University,Research Study,,,,Development of High-Performance Concrete Containing Waste Limestone Powder,8 Clarkson Avenue CU Box 5630,Potsdam,NY,13699,http://www.clarkson.edu,8/17/07,67093
12/8/20,126892,Clarkson University,University,Research Study,,,,Energy Storage Peak Shaving Feasibility for TL & LP Municipal Electric Dept.,8 Clarkson Avenue CU Box 5630,Potsdam,NY,13699,http://www.clarkson.edu,1/30/19,67832
12/8/20,106113,Research Foundation of SUNY,University,Research Study,,,,Radiation Cured Natural Fiber Reinforced Composites,"Suite 211Sponsored Programs Administration UB Commons

P.O. Box 9",Albany,NY,12201-0009,https://www.rfsuny.org/,11/1/10,71250
12/8/20,87156,Electric Power Research Institute,Laboratory / Research Center,Research Study,,,,Quantify Economic Benefits of Electric Energy Storage Applications in NYS:Market,"1325 G Street, NW, Ste 1080",Washington,DC,20005,https://www.epri.com,2/28/05,72937
12/8/20,86373,Rochester Institute of Technology,University,Research Study,,,,Design and Screening Tool for the Next Level of Thermoelectric Power Generation,1 Lomb Memorial Dr,Rochester,New York,14623,http://www.rit.edu,3/9/10,74599
12/8/20,75215,"National Technology Development, LLC",Early Stage Company,Research Study,,,,Effects of Using Recycled Asphalt and Concrete for Pavement Construction,8 Hunters Run,Horseheads,NY,14845,,8/15/08,74705
12/8/20,85396,Alpha Geological Services Inc.,Early Stage Company,Research Study,,,,Provide Geological Consulting Services in Support of the sGEIS,"d/b/a Alpha Geoscience
679 Plank Road",Clifton Park,NY,12065,http://www.alphageoscience.com,3/31/10,74821
12/8/20,75499,"C&S Engineers,  Inc.",Corporate,Research Study,,,,PRT in Ithaca,41 State Street STE 600,Albany,NY,12143,http://www.cscos.com/,3/24/09,74992
12/8/20,75214,Rensselaer Polytechnic Institute-LRC,University,Research Study,,,,Innovative Approaches for Energy Efficient and Safe Roadway Travel Using,21 Union St,Troy,NY,12180,http://www.lrc.rpi.edu/,5/27/08,74993
12/8/20,74131,Green Options Buffalo,Other,Research Study,,,,Buffalo's Bicycle Master Plan,640 Ellicott Street,Buffalo,NY,14203,https://gobikebuffalo.org/,6/25/13,74997
12/8/20,85316,"Challenge Industries, Inc.",Other,Research Study,,,,Feasibility study of alternative expansion options,950 Danby Rd Ste 179,Ithaca,NY,14850,http://www.challengeworkforcesolutions.com,11/10/09,74997
12/8/20,75507,SUNY Buffalo,University,Research Study,,,,Smart Land Use Design to Reduce VMT,119 John Beane Center,Buffalo,New York,14260,http://www.buffalo.edu/,3/10/09,74998
12/8/20,74006,Rensselaer Polytechnic Institute,University,Research Study,,,,Development of a Decision Making Tool for Corridor-Based Transportation,"Research Adm & Finance, 4th Floor West Hall, 110 8th St",Troy,NY,12180,https://www.rpi.edu/,8/2/10,75000
12/8/20,74160,Claire Weisz Architects,Early Stage Company,Research Study,,,,EV Tourism in the Empire State,224 Centre St Fl 5,New York,NY,10013,http://www.wxystudio.com/,7/17/14,75000
12/8/20,74167,The Coalition for Green Capital,Industry / Trade Association,Research Study,,,,EVSE Financing Model Development,"1875 Connecticut Avenue, NW, 10th Floor",Washington,DC,20009,http://coalitionforgreencapital.com/,9/11/14,75000
12/8/20,74187,Rensselaer Polytechnic Institute,University,Research Study,,,,Modular Reconfigurable Aerial Robots,"Research Adm & Finance, 4th Floor West Hall, 110 8th St",Troy,NY,12180,https://www.rpi.edu/,9/4/15,75000
12/8/20,75488,"Regional Plan Association, Inc.",Laboratory / Research Center,Research Study,,,,Exploring Mileage Based User Fees,1 Whitehall St Fl 16,New York,NY,10004,http://www.rpa.org/,4/15/11,75000
12/8/20,75513,Claire Weisz Architects,Early Stage Company,Research Study,,,,Green Loading Zones Study,224 Centre St Fl 5,New York,NY,10013,http://www.wxystudio.com/,7/9/13,75000
12/8/20,75514,"GTCS, Inc.",Early Stage Company,Research Study,,,,Rochester Area Bike Sharing Program Study,"50 W. Main Street, Suite 8112",Rochester,NY,14614,http://www.gtcmpo.org,8/27/13,75000
12/8/20,84956,Clarkson University,University,Research Study,,,,Parameter ID for Electric Vehicle Rate Structures,8 Clarkson Avenue CU Box 5630,Potsdam,NY,13699,http://www.clarkson.edu,10/6/14,75000
12/8/20,87098,Rensselaer Polytechnic Institute-LRC,University,Research Study,,,,The Lighting Technology Greenhouse,21 Union St,Troy,NY,12180,http://www.lrc.rpi.edu/,2/28/05,75000
12/8/20,87370,6-Nines Power LLC,Early Stage Company,Research Study,,,,The Public Ownership of Energy Storage Systems in New York State,375 Park Avenue,New York,Massachusetts,,http://www.6ninespower.com,6/12/09,76500
12/8/20,86937,Rensselaer Polytechnic Institute-LRC,University,Research Study,,,,LINAC Bubble Fusion Study:Bubble Fusion Studies Using the RPI LINAC,21 Union St,Troy,NY,12180,http://www.lrc.rpi.edu/,1/15/03,78600
